Something went wrong and we currently cannot display the status of your latest bet.,Qualcosa è andato storno e non possiamo mostrare lo stato delle vostre vecchie schedine.,,,
Something went wrong.,Qualcosa è andato storto.,,,
Stake,Puntata,,,
Stake cannot exceed %(stake)%(currencySymbol),La puntata non può eccedere %(stake)%(currencySymbol),,,
Stake must be at least %(stake)%(currencySymbol),La puntata deve essere almeno %(stake)%(currencySymbol),,,
Stake per bet,Puntata per schedina ,,,
Successfully Cashed Out %(value)%(currencySymbol),Cash Out di %(value)%(currencySymbol) avvenuto con successo,,,
System,Sistema,,,
Tax,Tasse,,,
"The line, odds or availablity of your selections had changed","La linea, la quota o la disponibilità della selezioni sono cambiate",,,
The selection is no longer available!,La selezione non è più disponibile!,,,
"To place a bet, %(register) or %(login) and click on any price.","Per piazzare la scommessa, %(register) or %(login) e clicca su qualsiasi importo.",,,
"To place a bet, please click on any price.","Per piazzare la scommessa,  clicca per favore su qualsiasi importo.",,,
To return,Da ritornare,,,
To return %(toReturnValue),Da ritornare %(toReturnValue),,,
To win,Per vincere,,,
Total odds,Quote Totali,,,
Total Odds,Quote Totali,,,
Total stake,Importo Totale,,,
Used Stake,Importo Usato,,,
Void,Annullata,,,
Waiting for Cash Out %(value)%(currencySymbol),Attendendo per il Cash Out %(value)%(currencySymbol),,,
Won,Vinta,,,
You do not have any bets in this category.,Non hai alcuna scommessa in questa categoria.,,,
You must be logged in to access this page.,Devi accedere per avere accesso a questa pagina.,,,
You must be logged in to place bet!,Devi accedere per poter piazzare una scommessa!,,,
You must enter a stake for at least one selection in order to place a bet,Devi inserire una puntata di almeno una selezione per poter scommettere,,,
You must enter a stake in order to place a bet,Devi inserire una puntata per poter piazzare una scommessa,,,
You will Cash Out %(value)%(currencySymbol),Effettuerai Cash Out di %(value)%(currencySymbol),,,
Your bet exceeds our limits,La tua bet eccede i nostri limiti,,,
Your betslip is empty,La stua schedina è vuota,,,
Your pick,La tua selezione,,,
Your stake does not meet our OddsBoost bonus requirements.,La tua puntata non soddisfa i requisiti per il Bonus Multipla,,,
/bet,/scommessa,,,
/bet-builder-rules,/regole-bet-builder,,,
/betslip,/schedina,,,
/betting-history,/cronologia-scommesse,,,
/betting-rules,/regole-gioco,,,
/cashout-terms,/termini-cashout,,,
/category,/categoria,,,
/discipline,/disciplina,,,
/esports,/esport,,,
/esports-betting-rules,/regole-esport,,,
/event,/evento,,,
/favorites,/preferiti,,,
/live-event,/evento-live,,,
/live-search,/ricerca-live,,,
/live-sports,/sport-live,,,
/location,/località,,,
/next-events,/prossimi-eventi,,,
/popular-events,/eventi-popolari,,,
/search,/ricerca,,,
/settings,/impostazioni,,,
/shared-bet,/scommessa-condivisa,,,
/sport,/sport,,,
/tournament,/torneo,,,
/tournament-category,/categoria-torneo,,,
/tournament-location,/località-torneo,,,
/virtual-esports-betting-rules,/regole-virtual-esport,,,
%(clickHere) to adjust your stake,%(clickHere) per correggere la puntata,,,
1. %(count) More Location+,1. %(count) Più Località+,,,
2. %(count) More Locations+,2. %(count) Più Località+,,,
%(name) overview,%(name) panoramica,,,
%(name) Tournaments,%(name) Tornei,,,
%(step) h,%(step) ore,,,
1. %(step) hour,1. %(step) ore,,,
2. %(step) hours,2. %(step) ore,,,
Accept any,Accetta Tutto,,,
Accept higher,Accetta maggiore,,,
Accept lower,Accetta minore,,,
Accept none,Non accettare,,,
Accept odds type,Accetta il tipo di quote,,,
All,Tutto,,,
Back to All Betting Rules,Torna a Tutte le regole delle scommesse,,,
Best of %(numberOfEventParts),Il meglio di %(numberOfEventParts),,,
Bet Builder Rules,Regole Bet Builder,,,
Bet details,Dettagli scommessa,,,
Bet id,Id Scommessa,,,
Bet placed,Scommessa piazzata,,,
Bet status,Stato della scommessa,,,
Bet type,Tipo di scommessa,,,
Betslip,Schedina,,,
Betting History,Cronologia scommesse,,,
Betting Rules,Regole scommesse,,,
Cancel Cash Out,Canella Cash Out,,,
Cash Out,Cash Out,,,
Cash Out %(value)%(currencySymbol),Cash Out %(value)%(currencySymbol),,,
Cash Out failed,Cash Out fallito,,,
